web-scraper-order;web-scraper-start-url;links;links-href;prijs;slaapkamers;bewoonbare_ruimte;grond;bouwjaar;conditie;badkamers;energieklasse;postcode;image1;image2
1652223935-136;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=4orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/ronse/9600/9899652?searchId=627aef9e13b60;€ 265.000;3 slaapkamers;152;675;1925;Net gerenoveerd;1 badkamer;B;9600;https://static.immoweb.be/photos/0/9/8/9/9/6/5/2/9899652_1.jpg?cache=20220508082911;https://static.immoweb.be/photos/0/9/8/9/9/6/5/2/M_9899652_2.jpg?cache=20220508082911
1652223731-37;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=5orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/ronse/9600/9888895?searchId=627aeee52c9b8;€ 149.000;2 slaapkamers;155;150;1925;Te renoveren;1 badkamer;F;9600;https://static.immoweb.be/photos/0/9/8/8/8/8/9/5/9888895_1.jpg?cache=20220503032415;https://static.immoweb.be/photos/0/9/8/8/8/8/9/5/M_9888895_2.jpg?cache=20220503032415
1652224081-206;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=2orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/luik/4020/9900583?searchId=627af01a90267;€ 175.000;2 slaapkamers;80;75;1930;Net gerenoveerd;1 badkamer;E;4020;https://static.immoweb.be/photos/0/9/9/0/0/5/8/3/9900583_1.jpg?cache=20220509095350;https://static.immoweb.be/photos/0/9/9/0/0/5/8/3/M_9900583_2.jpg?cache=20220509095350
1652224089-210;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=2orderBy=relevance;Boerderij;https://www.immoweb.be/nl/zoekertje/boerderij/te-koop/clavier/4560/9601088?searchId=627af01a90267;€ 149.000;5 slaapkamers;300;581;1880;Te renoveren;1 badkamer;F;4560;https://static.immoweb.be/photos/0/9/6/0/1/0/8/8/9601088_1.jpg?cache=20211104023016;https://static.immoweb.be/photos/0/9/6/0/1/0/8/8/M_9601088_2.jpg?cache=20211104023016
1652224087-209;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=2orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/dendermonde/9200/9904333?searchId=627af01a90267;€ 370.000;4 slaapkamers;223;290;1925;Uitstekende staat;1 badkamer;A;9200;https://media-resize.immowebstatic.be/classifieds/2b660022-eea9-4ff8-8f47-ae3da4452e3e/736x736/491bcfca177ba2720e7604fda2d56c9d.jpg?cache=20220510190301;https://media-resize.immowebstatic.be/classifieds/2b660022-eea9-4ff8-8f47-ae3da4452e3e/300x300/39cd87b72189bc01a6537213c8afd830.jpg?cache=20220510190301
1652223693-19;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=5orderBy=relevance;Gebouw voor gemengd gebruik;https://www.immoweb.be/nl/zoekertje/gebouw-gemengd-gebruik/te-koop/vorst/1190/9888812?searchId=627aeea6e2a1f;€ 520.000;4 slaapkamers;160;220;;Goed;2 badkamers;G;1190;https://static.immoweb.be/photos/0/9/8/8/8/8/1/2/9888812_1.jpg?cache=20220503024844;https://static.immoweb.be/photos/0/9/8/8/8/8/1/2/M_9888812_2.jpg?cache=20220503024844
1652224006-171;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=3orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/drongen/9031/9901794?searchId=627aefdc4acd0;€ 495.000;3 slaapkamers;165;1126;1972;Te renoveren;1 badkamer;F;9031;https://static.immoweb.be/photos/0/9/9/0/1/7/9/4/9901794_1.jpg?cache=20220509201401;https://static.immoweb.be/photos/0/9/9/0/1/7/9/4/M_9901794_2.jpg?cache=20220509201401
1652224065-199;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=2orderBy=relevance;Villa;https://www.immoweb.be/nl/zoekertje/villa/te-koop/bredene/8450/9901684?searchId=627af01a90267;€ 675.000;3 slaapkamers;226;530;2008;Uitstekende staat;2 badkamers;B;8450;https://media-resize.immowebstatic.be/classifieds/3c29d0de-c34c-4943-9c22-4750a957c9f9/736x736/3c659fe4e563ba9d2b643b9361918fd4.jpg?cache=20220509190309;https://media-resize.immowebstatic.be/classifieds/3c29d0de-c34c-4943-9c22-4750a957c9f9/300x300/ab43f58562f19ae7d056cc384dfbbbb0.jpg?cache=20220509190309
1652223735-39;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=5orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/vloesberg/7880/9899924?searchId=627aeee52c9b8;€ 495.000;5 slaapkamers;200;1825;2015;Uitstekende staat;1 badkamer;A;7880;https://media-resize.immowebstatic.be/classifieds/5b54b35e-227e-4a24-b4c0-2583a655e68b/736x736/3d8aa7c14f82814e69ce92e837963063.jpg?cache=20220508180049;https://media-resize.immowebstatic.be/classifieds/5b54b35e-227e-4a24-b4c0-2583a655e68b/300x300/e42c1f9faa6c11ea84c6d4d92fbd135c.jpg?cache=20220508180049
1652223999-167;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=3orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/ukkel/1180/9901114?searchId=627aefdc4acd0;€ 1.085.000;5 slaapkamers;325;410;1878;Op te frissen;2 badkamers;G;1180;https://static.immoweb.be/photos/0/9/9/0/1/1/1/4/9901114_1.jpg?cache=20220509141344;https://static.immoweb.be/photos/0/9/9/0/1/1/1/4/M_9901114_2.jpg?cache=20220509141344
