web-scraper-order;web-scraper-start-url;links;links-href;prijs;slaapkamers;bewoonbare_ruimte;grond;bouwjaar;conditie;badkamers;energieklasse;postcode;image1;image2
1653074772-122;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=21&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/dilbeek-groot-bijgaarden/1702/9687996?searchId=6287eb4d36d52;€ 498.850;6 slaapkamers;275;500;2005;Uitstekende staat;2 badkamers;B;1702;https://static.immoweb.be/photos/0/9/6/8/7/9/9/6/9687996_1.jpg?cache=20220104214403;https://static.immoweb.be/photos/0/9/6/8/7/9/9/6/M_9687996_2.jpg?cache=20220104214403
1653074532-25;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=25&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/zoutleeuw/3440/9904323?searchId=6287ea24e336a;€ 239.000;3 slaapkamers;320;205;1968;Op te frissen;1 badkamer;D;3440;https://static.immoweb.be/photos/0/9/9/0/4/3/2/3/9904323_1.jpg?cache=20220512192353;https://static.immoweb.be/photos/0/9/9/0/4/3/2/3/M_9904323_2.jpg?cache=20220510190346
1653074627-62;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=23&orderBy=relevance;Villa;https://www.immoweb.be/nl/zoekertje/villa/te-koop/liedekerke/1770/9670886?searchId=6287eabb03d5c;€ 1.175.000;5 slaapkamers;520;2477;1997;Uitstekende staat;2 badkamers;C;1770;https://static.immoweb.be/photos/0/9/6/7/0/8/8/6/9670886_1.jpg?cache=20220406045914;https://static.immoweb.be/photos/0/9/6/7/0/8/8/6/M_9670886_2.jpg?cache=20220331104844
1653074662-77;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=23&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/wezembeek-oppem/1970/9593375?searchId=6287eabb03d5c;€ 730.000;4 slaapkamers;175;404;1964;Uitstekende staat;1 badkamer;F;1970;https://static.immoweb.be/photos/0/9/5/9/3/3/7/5/9593375_1.jpg?cache=20211029023505;https://static.immoweb.be/photos/0/9/5/9/3/3/7/5/M_9593375_2.jpg?cache=20211029023505
1653074480-4;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=25&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/graven/1390/9919912?searchId=6287ea24e336a;€ 470.000;6 slaapkamers;459;980;;Goed;1 badkamer;C;1390;https://static.immoweb.be/photos/0/9/9/1/9/9/1/2/9919912_1.jpg?cache=20220518175345;https://static.immoweb.be/photos/0/9/9/1/9/9/1/2/M_9919912_2.jpg?cache=20220518175345
1653074559-35;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=24&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/eeklo/9900/9920296?searchId=6287ea7090a5c;€ 359.000;5 slaapkamers;235;304;2013;Uitstekende staat;1 badkamer;B;9900;https://static.immoweb.be/photos/0/9/9/2/0/2/9/6/9920296_1.jpg?cache=20220518222357;https://static.immoweb.be/photos/0/9/9/2/0/2/9/6/M_9920296_2.jpg?cache=20220518222358
1653074576-42;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=24&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/gent/9000/9913605?searchId=6287ea7090a5c;€ 295.000;3 slaapkamers;132;60;1918;Goed;1 badkamer;D;9000;https://static.immoweb.be/photos/0/9/9/1/3/6/0/5/9913605_1.jpg?cache=20220515193433;https://static.immoweb.be/photos/0/9/9/1/3/6/0/5/M_9913605_2.jpg?cache=20220515193433
1653074709-96;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=22&orderBy=relevance;Appartementsblok;https://www.immoweb.be/nl/zoekertje/appartementsblok/te-koop/sprimont/4141/9836317?searchId=6287eb046601d;€ 595.000;10 slaapkamers;430;956;1950;Uitstekende staat;4 badkamers;D;4141;https://static.immoweb.be/photos/0/9/8/3/6/3/1/7/9836317_1.jpg?cache=20220401033856;https://static.immoweb.be/photos/0/9/8/3/6/3/1/7/M_9836317_2.jpg?cache=20220401033856
1653074829-146;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=21&orderBy=relevance;Villa;https://www.immoweb.be/nl/zoekertje/villa/te-koop/kapellen/2950/9842385?searchId=6287eb4d36d52;€ 449.000;3 slaapkamers;129;465;1988;Goed;1 badkamer;C;2950;https://media-resize.immowebstatic.be/classifieds/a6de6a8b-15a3-4f2e-8018-7a812af71eaf/736x736/ee15bce5aedb22adaaa39ab26a2631a2.jpg?cache=20220512071100;https://media-resize.immowebstatic.be/classifieds/a6de6a8b-15a3-4f2e-8018-7a812af71eaf/300x300/558c2e84a91c750bf204720c557f3fdd.jpg?cache=20220512071100
1653074803-135;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=21&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/vossem/3080/9870148?searchId=6287eb4d36d52;€ 465.000;3 slaapkamers;140;619;1961;Te renoveren;2 badkamers;F;3080;https://static.immoweb.be/photos/0/9/8/7/0/1/4/8/9870148_1.jpg?cache=20220519074350;https://static.immoweb.be/photos/0/9/8/7/0/1/4/8/M_9870148_2.jpg?cache=20220519074350
